,_id,ID,Name,global_id,Photo,AdmArea,District,DepartmentalAffiliation,Address,Capacity,ObjectOperOrgName,ObjectOperOrgPhone,Longitude_WGS84,Latitude_WGS84,geoData,geodata_center
10,624b10b84174701856b96dfe,30,Велосипедная парковка № 37080 «Школа № 1380»,2757751,c42b2c8b-3ed9-4a54-9101-c965eee0bf7d,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Тихомирова, дом 10",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.651831,55.884897,"{'coordinates': [37.651831, 55.884897], 'type': 'Point'}","{'coordinates': [37.651831, 55.884897], 'type': 'Point'}"
11,624b10b84174701856b96dff,75,Велосипедная парковка № 37123 «Гимназия № 1503»,2757753,224caf27-494a-4b50-898f-b541ae2d85f5,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Константинова, дом 20, корпус 1",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.658057,55.817218,"{'coordinates': [37.658057, 55.817218], 'type': 'Point'}","{'coordinates': [37.658057, 55.817218], 'type': 'Point'}"
12,624b10b84174701856b96e00,76,Велосипедная парковка № 37093 «Школа надомного обучения № 410»,2757754,dd7dd55f-b7f5-452e-ab9c-84bf92219e21,Северо-Восточный административный округ,район Ростокино,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Докукина, дом 5",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.653677,55.837235,"{'coordinates': [37.653677, 55.837235], 'type': 'Point'}","{'coordinates': [37.653677, 55.837235], 'type': 'Point'}"
13,624b10b84174701856b96e01,79,Велосипедная парковка № 37140 «Гимназия № 1577»,2757757,5e96c43c-0dea-4253-a1c0-c34e2c3cc3c8,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославское шоссе, дом 8, корпус 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.690287,55.852798,"{'coordinates': [37.690287, 55.852798], 'type': 'Point'}","{'coordinates': [37.690287, 55.852798], 'type': 'Point'}"
14,624b10b84174701856b96e02,80,Велосипедная парковка № 37135 «Гимназия № 1558 им. Росалии де Кастро»,2757758,b72fffc6-4bcc-4d3d-a2e7-6e614c408fd6,Северо-Восточный административный округ,Бабушкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Чукотский проезд, дом 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.654481,55.868075,"{'coordinates': [37.654481, 55.868075], 'type': 'Point'}","{'coordinates': [37.654481, 55.868075], 'type': 'Point'}"
15,624b10b84174701856b96e03,83,Велосипедная парковка № 37045 «Школа № 750»,2757761,611414fb-f6bb-4f3d-9d77-83edd3c19085,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Палехская улица, дом 8",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.695943,55.864923,"{'coordinates': [37.695943, 55.864923], 'type': 'Point'}","{'coordinates': [37.695943, 55.864923], 'type': 'Point'}"
16,624b10b84174701856b96e04,88,Велосипедная парковка № 37051 «Школа № 753»,2757766,607d3a8c-57fe-4bfb-b3d8-8b45b05ab553,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Грекова, дом 20",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.664243,55.891110,"{'coordinates': [37.664243, 55.89111], 'type': 'Point'}","{'coordinates': [37.664243, 55.89111], 'type': 'Point'}"
17,624b10b84174701856b96e05,89,Велосипедная парковка № 37056 «Школа № 760 им. Маресьева»,2757767,7e1dad9d-de6f-4fae-88e4-aa2c838200c1,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославское шоссе, дом 147",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.719983,55.880987,"{'coordinates': [37.719983, 55.880987], 'type': 'Point'}","{'coordinates': [37.719983, 55.880987], 'type': 'Point'}"
18,624b10b84174701856b96e06,91,Велосипедная парковка № 37146 «Лицей информационных технологий № 1537»,2757768,fbc9e7f2-fef3-4c50-a064-133a7b5faeb5,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Проходчиков, дом 9",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.718627,55.874295,"{'coordinates': [37.718627, 55.874295], 'type': 'Point'}","{'coordinates': [37.718627, 55.874295], 'type': 'Point'}"
19,624b10b84174701856b96e07,92,Велосипедная парковка № 37088 «Школа № 1955»,2757769,435d292d-1e84-4815-a2da-910d280c7a8f,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Тайнинская улица, дом 15, корпус 3",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.683001,55.884724,"{'coordinates': [37.683001, 55.884724], 'type': 'Point'}","{'coordinates': [37.683001, 55.884724], 'type': 'Point'}"
20,624b10b84174701856b96e08,94,Велосипедная парковка № 37040 «Школа № 529»,2757771,fa04296f-9131-48cd-8062-9c5498df2567,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"2-я Напрудная улица, дом 17",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.688892,55.879303,"{'coordinates': [37.688892, 55.879303], 'type': 'Point'}","{'coordinates': [37.688892, 55.879303], 'type': 'Point'}"
21,624b10b84174701856b96e09,95,Велосипедная парковка № 37053 «Школа № 756»,2757772,c46367d1-ff44-42d1-850d-3bb36e42eb09,Северо-Восточный административный округ,район Северное Медведково,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Грекова, дом 11А",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.659036,55.890495,"{'coordinates': [37.659036, 55.890495], 'type': 'Point'}","{'coordinates': [37.659036, 55.890495], 'type': 'Point'}"
22,624b10b84174701856b96e0a,18,Велосипедная парковка № 37008 «Школа № 250»,2757774,47e4bee8-ebe9-47b5-9828-d65ea2e683f9,Северо-Восточный административный округ,Бутырский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Гончарова, дом 15Б",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.586505,55.817643,"{'coordinates': [37.586505, 55.817643], 'type': 'Point'}","{'coordinates': [37.586505, 55.817643], 'type': 'Point'}"
23,624b10b84174701856b96e0b,20,Велосипедная парковка № 37166 «Московский кадетский корпус Героев Космоса № 1783»,2757776,34b87e5f-8a18-4fcb-8d9a-0bdd2cf4c233,Северо-Восточный административный округ,Останкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"3-я Новоостанкинская улица, дом 6",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.626826,55.817960,"{'coordinates': [37.626826, 55.81796], 'type': 'Point'}","{'coordinates': [37.626826, 55.81796], 'type': 'Point'}"
24,624b10b84174701856b96e0c,23,Велосипедная парковка № 37122 «Гимназия № 1503»,2757779,af2c90cc-9499-46a1-b275-1de13c3e2128,Северо-Восточный административный округ,Алексеевский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Павла Корчагина, дом 18",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.662338,55.818512,"{'coordinates': [37.662338, 55.818512], 'type': 'Point'}","{'coordinates': [37.662338, 55.818512], 'type': 'Point'}"
