vacancy_name,company,city,salary_min,salary_max,currency,vacancy_link,site
"Presenso, SKF group| Big Data (Python/Golang) developer",ФОП Гартман Анастасия,Москва,4000.0,5000.0,Usd,https://vladivostok.hh.ru/vacancy/52602551?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Back-End разработчик Python (junior/middle),HUAWEI,Москва,,,,https://vladivostok.hh.ru/vacancy/52481862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Стажёр-разработчик Go/Python (Группа операционного мониторинга),Ozon Информационные технологии,Москва,,,,https://vladivostok.hh.ru/vacancy/52463563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
"Доцент (машинное обучение, программирование, информационные технологии, математика)","Финансовый университет, Финуниверситет",Москва,100000.0,250000.0,Руб,https://vladivostok.hh.ru/vacancy/52011927?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python-разработчик (Все Аптеки),"VK, Медиапроекты",Москва,,,,https://vladivostok.hh.ru/vacancy/52499906?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist,Ассоциация IPChain,Москва,250000.0,350000.0,Руб,https://vladivostok.hh.ru/vacancy/51437981?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Analyst / Data Scientist,ЗАО Национальное Бюро Информатизации,Москва,,,,https://vladivostok.hh.ru/vacancy/51779542?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Старший Инженер по Тестированию,StakeWise,Москва,,380000.0,Руб,https://vladivostok.hh.ru/vacancy/52663571?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
"Программист (Python, сетевые технологии)",NFWare,Москва,,,,https://vladivostok.hh.ru/vacancy/50740054?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python Developer/Инженер по разработке коробочных решений,CHATME.ai,Москва,200000.0,250000.0,Руб,https://vladivostok.hh.ru/vacancy/52035180?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior+/middle Python разработчик,Аликсон,Москва,120000.0,,Руб,https://vladivostok.hh.ru/vacancy/52248073?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Machine Learning Engineer,ООО НПО ПКРВ,Москва,300000.0,,Руб,https://vladivostok.hh.ru/vacancy/52553704?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior DevOps,PointPay,Москва,,,,https://vladivostok.hh.ru/vacancy/51999336?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
FullStack QA Engineer (Python),oneFactor,Москва,,,,https://vladivostok.hh.ru/vacancy/50854796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Engineer (Python),Detego,Москва,,,,https://vladivostok.hh.ru/vacancy/51715758?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist,COMTEK Inc.,Москва,,,,https://vladivostok.hh.ru/vacancy/51955855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior C++ Developer,HIVE,Москва,,,,https://vladivostok.hh.ru/vacancy/52279482?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist,Ассоциация IPChain,Москва,250000.0,350000.0,Руб,https://vladivostok.hh.ru/vacancy/51437981?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
"Программист (Python, сетевые технологии)",NFWare,Москва,,,,https://vladivostok.hh.ru/vacancy/50740054?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python разработчик в аналитическую платформу,Яндекс,Москва,,,,https://vladivostok.hh.ru/vacancy/52682794?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data scientist,Дата Матрикс,Москва,,,,https://vladivostok.hh.ru/vacancy/51662880?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Эксперт-преподаватель по курсу Python (Evrone Academy),evrone.ru,Москва,,,,https://vladivostok.hh.ru/vacancy/52627587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior Data Engineer/Analyst,Сбер для экспертов,Москва,,,,https://vladivostok.hh.ru/vacancy/52533809?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior+/middle Python разработчик,Аликсон,Москва,120000.0,,Руб,https://vladivostok.hh.ru/vacancy/52248073?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Аналитик данных (Data analyst),"Лента, федеральная розничная сеть, Офис",Москва,,,,https://vladivostok.hh.ru/vacancy/52410689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Back-End разработчик Python (junior/middle),HUAWEI,Москва,,,,https://vladivostok.hh.ru/vacancy/52481862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Специалист отдела разработки систем машинного обучения и анализа данных,ПАО Норвик Банк,Москва,,,,https://vladivostok.hh.ru/vacancy/52083840?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle C++ and Python Developer,Betterstore,Москва,,220000.0,Руб,https://vladivostok.hh.ru/vacancy/50560990?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python - разработчик (middle),Лига Цифровой Экономики,Москва,,,,https://vladivostok.hh.ru/vacancy/49940952?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Senior / Middle Backend Developer (Python) / Python developer / Python разработчик,Cleverbots,Москва,,,,https://vladivostok.hh.ru/vacancy/52046216?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
C++ Developer for PokerStars / Flutter,ФОП Гартман Анастасия,Москва,4500.0,6500.0,Usd,https://vladivostok.hh.ru/vacancy/52598334?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python developer,"БизнесАвтоматика, НПЦ",Москва,,,,https://vladivostok.hh.ru/vacancy/52392876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Младший специалист по тестированию ПО,ИТЕРАНЕТ,Москва,50000.0,,Руб,https://vladivostok.hh.ru/vacancy/52242846?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Стажер-аналитик в команду сегментации,Joom,Москва,,80000.0,Руб,https://vladivostok.hh.ru/vacancy/52533873?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python Developer,GMS Services,Москва,,,,https://vladivostok.hh.ru/vacancy/51864872?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior HFT Quant Trader / Data Scientist Orion Systematic AG,ООО НОВОТЕХ,Москва,100000.0,200000.0,Руб,https://vladivostok.hh.ru/vacancy/52212010?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
